title,description,category,subcategory,section,input_type,required,weight,is_critical,options
Review customer feedback,Check recent reviews,TASKS,Customer Service,Back Office,task,no,1,no,Done:100|Not Done:0

# ==========================================
# SECTION 11: DROPDOWN SELECTIONS
# ==========================================
Store condition rating,Select overall rating,QUALITY,General,All Areas,dropdown,yes,1,no,Excellent:100|Good:75|Average:50|Below Average:25|Poor:0
Busiest time observed,Select peak hour,INFO,Operations,Front Area,dropdown,no,1,no,Morning:0|Lunch:0|Afternoon:0|Dinner:0|Late Night:0

# ==========================================
# SECTION 12: SPEED OF SERVICE TRACKING
# ==========================================
Table Number - Transaction 1,Enter table number,SERVICE,Speed of Service,Trnx-1,short_answer,yes,1,no,
Order Time - Transaction 1,Time order placed,SERVICE,Speed of Service,Trnx-1,time,yes,1,no,
Serve Time - Transaction 1,Time food served,SERVICE,Speed of Service,Trnx-1,time,yes,1,no,
Wait Time (minutes) - Transaction 1,Calculate wait time,SERVICE,Speed of Service,Trnx-1,number,yes,1,no,
Table Number - Transaction 2,Enter table number,SERVICE,Speed of Service,Trnx-2,short_answer,yes,1,no,
Order Time - Transaction 2,Time order placed,SERVICE,Speed of Service,Trnx-2,time,yes,1,no,
Serve Time - Transaction 2,Time food served,SERVICE,Speed of Service,Trnx-2,time,yes,1,no,
Wait Time (minutes) - Transaction 2,Calculate wait time,SERVICE,Speed of Service,Trnx-2,number,yes,1,no,
Average Wait Time,Auto-calculated average,SERVICE,Speed of Service,Avg,number,no,1,no,
